energy,tempo,instrumentalness,acousticness,danceability,key,loudness,mode,speechiness,liveness,valence,duration_ms,time_signature,label
0.56,94.934,1.34e-06,0.866,0.512,10.0,-13.887,0,0.926,0.911,0.459,198680.0,3.0,Mender
0.4,82.557,0.0,0.763,0.559,11.0,-22.977,0,0.938,0.954,0.437,245954.0,1.0,Mender
0.566,92.895,0.0,0.854,0.619,10.0,-10.768,0,0.949,0.759,0.438,121453.0,3.0,Mender
0.494,64.61,0.0,0.746,0.759,3.0,-12.788,0,0.951,0.415,0.573,71323.0,5.0,Mender
0.514,85.404,0.0,0.892,0.561,6.0,-19.987,0,0.938,0.761,0.4,300100.0,3.0,Mender
0.551,82.045,0.0,0.735,0.488,6.0,-17.701,0,0.944,0.722,0.404,162090.0,3.0,Mender
0.476,91.57,7.15e-06,0.562,0.6,5.0,-16.61,0,0.931,0.362,0.457,109226.0,3.0,Mender
0.588,69.797,0.0,0.917,0.72,5.0,-8.801,0,0.836,0.101,0.367,86438.0,4.0,Mender
0.558,88.127,0.0,0.795,0.587,11.0,-14.645,0,0.962,0.807,0.559,136820.0,4.0,Mender
0.532,55.704,0.0,0.884,0.524,10.0,-13.171,0,0.948,0.765,0.51,488605.0,3.0,Mender
0.591,81.898,0.0,0.836,0.494,10.0,-15.341,0,0.934,0.845,0.533,326120.0,3.0,Mender
0.237,67.802,0.0,0.973,0.689,4.0,-13.088,0,0.96,0.174,0.595,207987.0,3.0,Mender
0.595,96.998,2.92e-06,0.76,0.389,9.0,-15.284,0,0.673,0.669,0.479,53286.0,4.0,Mender
0.445,69.585,0.0,0.772,0.692,11.0,-20.027,0,0.952,0.901,0.58,148565.0,4.0,Mender
0.306,90.575,0.00258,0.865,0.574,11.0,-11.877,0,0.0292,0.117,0.491,187173.0,4.0,Mender
0.229,99.938,0.000576,0.429,0.795,9.0,-16.01,0,0.248,0.623,0.383,192000.0,4.0,Mender
0.503,92.888,0.0,0.637,0.683,5.0,-7.783,0,0.343,0.183,0.483,210279.0,4.0,Mender
0.494,93.609,0.0,0.627,0.703,5.0,-7.829,0,0.315,0.172,0.457,210279.0,4.0,Mender
0.573,84.782,0.0,0.496,0.421,5.0,-10.778,0,0.337,0.179,0.549,297651.0,4.0,Mender
0.581,86.473,0.0,0.462,0.702,8.0,-8.243,0,0.521,0.338,0.571,155689.0,4.0,Mender
0.471,99.986,1.68e-05,0.749,0.794,1.0,-10.046,0,0.0541,0.101,0.52,165600.0,4.0,Mender
0.569,90.31,0.0,0.424,0.528,9.0,-7.198,0,0.256,0.49,0.423,181577.0,4.0,Mender
0.294,82.064,0.0,0.816,0.765,2.0,-7.257,0,0.06,0.138,0.415,223305.0,4.0,Mender
0.456,63.651,5.86e-05,0.964,0.305,9.0,-7.347,0,0.0328,0.106,0.475,91466.0,3.0,Mender
0.581,61.227,0.0,0.496,0.45,0.0,-7.806,0,0.04,0.118,0.463,193084.0,3.0,Mender
0.338,87.554,0.00463,0.927,0.337,0.0,-21.972,0,0.274,0.335,0.4,146666.0,4.0,Mender
0.514,93.484,0.0,0.571,0.755,9.0,-11.15,0,0.354,0.118,0.388,128854.0,4.0,Mender
0.573,99.939,0.0734,0.46,0.695,4.0,-8.597,0,0.106,0.482,0.408,179172.0,4.0,Mender
0.322,98.892,9.24e-05,0.747,0.708,8.0,-12.46,0,0.0371,0.137,0.46,193946.0,4.0,Mender
0.58,94.008,0.0,0.543,0.725,10.0,-7.112,0,0.03,0.106,0.369,181640.0,4.0,Mender
0.265,93.115,0.0709,0.935,0.677,2.0,-15.615,0,0.134,0.116,0.493,242580.0,4.0,Mender
0.199,75.013,2.05e-06,0.835,0.74,4.0,-8.575,0,0.0366,0.116,0.486,131214.0,4.0,Mender
0.529,84.51,0.0,0.495,0.694,1.0,-7.753,0,0.0849,0.104,0.376,113803.0,4.0,Mender
0.512,79.972,1.33e-05,0.56,0.733,6.0,-5.068,0,0.0389,0.174,0.564,120015.0,4.0,Mender
0.492,82.519,0.0,0.477,0.713,1.0,-7.624,0,0.0784,0.104,0.396,156265.0,4.0,Mender
0.497,87.031,2.03e-06,0.643,0.865,1.0,-8.465,0,0.242,0.111,0.547,237375.0,4.0,Mender
0.493,95.995,1.92e-05,0.603,0.611,1.0,-8.365,0,0.0289,0.159,0.425,282613.0,4.0,Mender
0.482,83.054,0.0,0.518,0.432,5.0,-9.756,0,0.156,0.109,0.438,188054.0,4.0,Mender
0.438,81.017,2.83e-05,0.423,0.727,0.0,-7.393,0,0.0546,0.113,0.359,144570.0,4.0,Mender
0.218,88.577,0.005,0.817,0.648,10.0,-13.603,0,0.384,0.108,0.596,104071.0,4.0,Mender
0.462,80.077,0.0,0.681,0.706,4.0,-11.789,0,0.196,0.164,0.41,206697.0,4.0,Mender
0.532,99.994,0.000565,0.779,0.586,11.0,-8.837,0,0.0328,0.124,0.494,379768.0,4.0,Mender
0.445,99.998,0.893,0.835,0.361,11.0,-9.768,0,0.0333,0.146,0.5,295200.0,4.0,Mender
0.36,81.523,0.0,0.912,0.434,2.0,-8.602,0,0.0268,0.166,0.439,144893.0,4.0,Mender
0.457,79.942,4.86e-05,0.594,0.618,0.0,-9.326,0,0.0352,0.136,0.447,201720.0,4.0,Mender
0.459,81.024,0.0593,0.733,0.693,5.0,-12.451,0,0.0407,0.12,0.35,219906.0,4.0,Mender
0.42,91.766,2.11e-05,0.605,0.344,5.0,-11.73,0,0.0454,0.206,0.519,306013.0,4.0,Mender
0.272,74.587,0.000331,0.855,0.65,7.0,-7.496,0,0.0646,0.115,0.523,176440.0,4.0,Mender
0.426,92.156,0.0,0.456,0.609,11.0,-7.9,0,0.0483,0.101,0.444,201401.0,4.0,Mender
0.174,95.802,0.101,0.982,0.433,5.0,-18.791,0,0.0537,0.111,0.366,162446.0,4.0,Mender
0.319,83.293,0.00214,0.925,0.478,9.0,-9.542,0,0.0347,0.114,0.492,188533.0,4.0,Mender
0.0532,80.306,0.898,0.995,0.307,4.0,-31.453,0,0.0403,0.11,0.514,174600.0,4.0,Mender
0.574,92.027,1.44e-06,0.67,0.827,10.0,-5.309,0,0.214,0.312,0.582,329733.0,4.0,Mender
0.0901,81.056,6.16e-06,0.954,0.634,6.0,-16.02,0,0.0748,0.12,0.513,146280.0,4.0,Mender
