energy,tempo,instrumentalness,acousticness,danceability,valence,label
0.768,124.011,0.0,0.000605,0.808,0.554,Kinetik
0.875,139.9,0.000877,0.0695,0.83,0.675,Kinetik
0.867,104.019,0.0,0.0395,0.731,0.776,Kinetik
0.771,126.02,1.73e-05,0.00341,0.752,0.527,Kinetik
0.788,101.006,0.000306,0.0164,0.688,0.774,Kinetik
0.788,101.006,0.000306,0.0164,0.688,0.774,Kinetik
0.788,101.006,0.000306,0.0164,0.688,0.774,Kinetik
0.788,101.006,0.000306,0.0164,0.688,0.774,Kinetik
0.788,101.006,0.000306,0.0164,0.688,0.774,Kinetik
0.817,107.992,0.00679,0.262,0.657,0.651,Kinetik
0.817,107.992,0.00679,0.262,0.657,0.651,Kinetik
0.817,107.992,0.00679,0.262,0.657,0.651,Kinetik
0.905,117.997,0.0521,0.0529,0.662,0.857,Kinetik
0.835,120.019,0.0,0.25,0.743,0.955,Kinetik
0.902,119.008,8.74e-05,0.169,0.668,0.913,Kinetik
0.885,100.088,0.000473,0.00117,0.655,0.938,Kinetik
0.873,119.984,1.69e-06,0.0612,0.768,0.771,Kinetik
0.755,104.961,1.15e-05,0.238,0.856,0.926,Kinetik
0.82,109.998,0.318,0.238,0.7,0.667,Kinetik
0.856,117.027,0.00728,0.342,0.684,0.343,Kinetik
0.933,134.048,0.0,0.0203,0.651,0.798,Kinetik
0.909,118.007,0.108,0.0438,0.666,0.846,Kinetik
0.897,119.97,2.72e-05,0.00957,0.751,0.483,Kinetik
0.897,119.97,2.72e-05,0.00957,0.751,0.483,Kinetik
0.81,114.623,0.00251,0.00719,0.654,0.661,Kinetik
0.811,103.502,0.000142,0.00132,0.736,0.609,Kinetik
0.84,128.034,0.0,0.106,0.697,0.452,Kinetik
0.896,126.999,0.0,0.0539,0.77,0.964,Kinetik
0.961,104.054,1.31e-05,0.00558,0.671,0.922,Kinetik
0.803,103.04,0.285,0.0709,0.763,0.561,Kinetik
0.874,123.979,8.33e-06,0.034,0.693,0.647,Kinetik
0.794,107.084,0.000693,0.231,0.663,0.74,Kinetik
0.794,107.084,0.000693,0.231,0.663,0.74,Kinetik
0.846,120.021,0.000381,0.0339,0.713,0.572,Kinetik
0.867,131.947,0.0,0.0968,0.734,0.962,Kinetik
0.958,131.965,7.12e-06,0.0186,0.697,0.608,Kinetik
0.789,123.016,0.0091,0.132,0.698,0.492,Kinetik
0.974,130.012,0.03,0.00231,0.74,0.466,Kinetik
0.773,128.162,0.000451,0.0174,0.691,0.502,Kinetik
0.87,119.99,0.0,0.241,0.674,0.86,Kinetik
0.767,110.994,0.0,0.0308,0.807,0.855,Kinetik
0.952,119.957,0.0,0.197,0.719,0.446,Kinetik
0.766,133.924,1.01e-06,0.217,0.694,0.636,Kinetik
0.803,110.009,1.85e-06,0.182,0.718,0.889,Kinetik
0.844,122.019,0.0,0.0502,0.766,0.823,Kinetik
0.94,122.992,0.0,0.144,0.658,0.694,Kinetik
0.848,134.894,0.0,0.322,0.71,0.572,Kinetik
0.936,139.997,0.0,0.523,0.832,0.608,Kinetik
0.774,139.964,0.000914,0.731,0.825,0.61,Kinetik
0.936,139.964,0.0,0.445,0.788,0.763,Kinetik
0.76,107.007,0.0,0.0639,0.671,0.796,Kinetik
0.79,106.961,0.00019,0.0281,0.661,0.7,Kinetik
0.844,122.019,0.0,0.0502,0.766,0.823,Kinetik
0.829,122.083,0.00258,0.00185,0.684,0.301,Kinetik
0.756,103.987,0.00361,0.00502,0.671,0.848,Kinetik
0.8,128.021,1.19e-06,0.016,0.699,0.561,Kinetik
0.85,117.968,0.0,0.203,0.749,0.912,Kinetik
0.895,127.924,0.0,0.0274,0.691,0.581,Kinetik
0.771,110.014,0.0,0.0466,0.804,0.73,Kinetik
0.885,125.098,0.0,0.392,0.829,0.674,Kinetik
0.891,126.98,0.0,0.216,0.844,0.591,Kinetik
0.751,103.976,0.0237,0.00483,0.669,0.833,Kinetik
0.923,110.006,0.0335,0.047,0.742,0.892,Kinetik
0.795,128.036,0.0,0.015,0.694,0.556,Kinetik
0.893,136.119,0.0,0.622,0.739,0.794,Kinetik
0.828,100.035,0.0,0.56,0.844,0.834,Kinetik
0.865,128.138,0.0,0.107,0.68,0.848,Kinetik
0.857,109.959,0.00072,0.912,0.722,0.816,Kinetik
0.928,119.96,0.0,0.00989,0.664,0.53,Kinetik
0.924,139.928,0.0,0.312,0.801,0.496,Kinetik
0.765,139.942,0.0,0.0869,0.799,0.382,Kinetik
0.931,121.001,0.0,0.00466,0.679,0.962,Kinetik
0.772,109.926,0.0,0.0508,0.799,0.731,Kinetik
0.809,130.003,0.000336,0.0251,0.793,0.158,Kinetik
0.875,128.453,0.0,0.298,0.683,0.607,Kinetik
0.929,116.996,0.0,0.0546,0.738,0.862,Kinetik
0.839,110.021,0.0,0.0883,0.809,0.554,Kinetik
0.908,119.978,0.000778,0.0613,0.679,0.658,Kinetik
0.842,128.025,0.0,0.0618,0.75,0.577,Kinetik
0.97,138.0,0.00415,0.0918,0.689,0.943,Kinetik
0.937,137.976,0.0,0.489,0.7,0.843,Kinetik
0.885,134.986,1.11e-06,0.0337,0.715,0.779,Kinetik
0.937,100.018,0.0,0.332,0.838,0.296,Kinetik
0.846,105.058,0.0104,0.0251,0.708,0.835,Kinetik
0.91,110.078,0.0,0.54,0.83,0.585,Kinetik
0.889,131.982,0.0,0.282,0.743,0.918,Kinetik
0.815,109.903,0.0,0.3,0.779,0.489,Kinetik
0.959,134.017,8.48e-05,0.00893,0.675,0.835,Kinetik
0.804,105.944,0.0,0.162,0.884,0.835,Kinetik
0.907,125.039,0.0,0.355,0.821,0.471,Kinetik
0.761,104.964,0.0,0.0109,0.672,0.302,Kinetik
0.772,128.006,0.0,0.382,0.79,0.39,Kinetik
0.861,124.0,0.0,0.307,0.771,0.426,Kinetik
0.794,105.055,0.00353,0.0218,0.725,0.506,Kinetik
0.879,120.024,8.8e-06,0.156,0.86,0.401,Kinetik
0.965,114.987,0.0,0.187,0.81,0.349,Kinetik
0.804,136.34,0.0374,0.671,0.657,0.918,Kinetik
0.789,107.047,0.000155,0.294,0.658,0.565,Kinetik
0.751,119.268,0.0,0.727,0.673,0.961,Kinetik
0.808,110.007,3.6e-05,0.499,0.66,0.591,Kinetik
0.815,120.08,3.09e-05,0.599,0.731,0.97,Kinetik
0.82,124.389,1.05e-05,0.342,0.744,0.947,Kinetik
0.788,127.521,1.07e-06,0.126,0.753,0.964,Kinetik
0.788,127.521,1.07e-06,0.126,0.753,0.964,Kinetik
0.817,107.992,0.00679,0.262,0.657,0.651,Kinetik
0.817,107.992,0.00679,0.262,0.657,0.651,Kinetik
0.817,107.992,0.00679,0.262,0.657,0.651,Kinetik
0.81,111.58,8.58e-06,0.408,0.669,0.966,Kinetik
0.919,130.22,0.0,0.0495,0.728,0.963,Kinetik
0.881,119.48,0.0,0.118,0.656,0.699,Kinetik
0.78,104.865,0.14,0.149,0.783,0.737,Kinetik
0.753,100.015,0.0,0.0443,0.838,0.963,Kinetik
0.762,126.02,0.0,0.0594,0.671,0.535,Kinetik
0.8,117.038,5.09e-05,0.0399,0.73,0.692,Kinetik
0.92,135.027,0.27,0.301,0.686,0.225,Kinetik
0.795,120.027,0.0,0.0843,0.75,0.777,Kinetik
0.814,108.016,0.00676,0.229,0.658,0.69,Kinetik
0.831,139.053,1.4e-06,0.00499,0.773,0.628,Kinetik
0.803,111.008,3.51e-05,0.0745,0.849,0.962,Kinetik
0.795,109.975,1.14e-05,0.266,0.735,0.62,Kinetik
0.933,120.042,0.0,0.156,0.707,0.884,Kinetik
0.816,125.631,0.00142,0.0442,0.716,0.834,Kinetik
0.8,110.996,0.081,0.641,0.774,0.844,Kinetik
0.906,113.016,0.000178,0.28,0.686,0.466,Kinetik
0.751,106.007,0.0,0.181,0.674,0.471,Kinetik
0.797,103.03,3.28e-06,0.194,0.695,0.803,Kinetik
0.903,129.957,2.19e-05,0.00257,0.707,0.55,Kinetik
0.79,115.995,0.00497,0.00827,0.736,0.821,Kinetik
0.871,139.661,0.113,0.0985,0.744,0.874,Kinetik
