energy,tempo,instrumentalness,acousticness,danceability,valence,label
0.193,68.016,0.807,0.784,0.718,0.411,Stargazer
0.361,79.969,0.941,0.968,0.588,0.462,Stargazer
0.364,82.984,0.861,0.741,0.699,0.358,Stargazer
0.34,75.009,0.782,0.299,0.717,0.516,Stargazer
0.289,81.059,0.76,0.38,0.528,0.403,Stargazer
0.0414,79.985,0.929,0.748,0.792,0.418,Stargazer
0.226,97.964,0.852,0.879,0.692,0.4,Stargazer
0.164,90.125,0.893,0.826,0.792,0.354,Stargazer
0.223,79.993,0.878,0.481,0.73,0.32,Stargazer
0.0816,65.035,0.935,0.748,0.71,0.47,Stargazer
0.27,85.93,0.917,0.329,0.667,0.416,Stargazer
0.383,94.559,0.816,0.792,0.804,0.594,Stargazer
0.459,90.028,0.822,0.287,0.822,0.521,Stargazer
0.493,84.966,0.909,0.933,0.711,0.527,Stargazer
0.494,93.758,0.88,0.846,0.816,0.403,Stargazer
0.293,94.999,0.88,0.753,0.739,0.474,Stargazer
0.223,80.018,0.946,0.955,0.73,0.562,Stargazer
0.424,82.024,0.885,0.66,0.692,0.405,Stargazer
0.43,92.943,0.731,0.246,0.591,0.359,Stargazer
0.475,78.16,0.932,0.519,0.534,0.487,Stargazer
0.42,79.992,0.696,0.748,0.765,0.374,Stargazer
0.308,74.996,0.919,0.596,0.656,0.334,Stargazer
0.413,75.01,0.877,0.78,0.747,0.442,Stargazer
0.318,78.01,0.93,0.542,0.787,0.353,Stargazer
0.15,87.956,0.735,0.974,0.554,0.314,Stargazer
0.256,95.013,0.626,0.375,0.72,0.467,Stargazer
0.448,99.513,0.826,0.756,0.561,0.429,Stargazer
0.277,65.403,0.645,0.995,0.772,0.58,Stargazer
0.372,75.955,0.909,0.975,0.516,0.353,Stargazer
0.397,81.794,0.787,0.927,0.603,0.473,Stargazer
0.499,87.989,0.936,0.732,0.525,0.338,Stargazer
0.466,91.193,0.725,0.45,0.752,0.399,Stargazer
0.299,90.016,0.839,0.751,0.667,0.382,Stargazer
0.467,94.417,0.685,0.849,0.707,0.419,Stargazer
0.33,95.907,0.877,0.535,0.716,0.39,Stargazer
0.478,93.01,0.922,0.795,0.588,0.314,Stargazer
0.477,97.012,0.783,0.633,0.701,0.491,Stargazer
0.42,77.012,0.673,0.52,0.74,0.372,Stargazer
0.341,79.502,0.679,0.26,0.775,0.504,Stargazer
0.236,92.033,0.856,0.391,0.702,0.559,Stargazer
0.206,75.057,0.9,0.992,0.509,0.342,Stargazer
0.0618,65.978,0.952,0.981,0.581,0.402,Stargazer
